title,actual_date,service_date_start,sg_service_date_end,day,start_time,bible,desc
Second Sunday after Christmas,1/2/2022,2/1/2022,,Sun,08:45,Luke 2:40-52,
Danaha - Baptism of our Lord Jesus Christ (Epiphany),1/5/2022,5/1/2022,,Wed,19:00,Luke 3:7-22,Commemorates the Holy Baptism of our Lord Jesus Christ by St John The Baptist at river Jordan. Blessed Denaha Water will be available to be taken home after the Service.
First Sunday after Danaha,1/9/2022,9/1/2022,,Sun,08:45,Matthew 4:12-22,
Second Sunday after Danaha,1/16/2022,16/1/2022,,Sun,08:45,John 1:43-51,
Third Sunday after Danaha,1/23/2022,23/1/2022,,Sun,08:45,John 3:1-12,
Fourth Sunday after Dhanaha (Sunday for Workers),1/30/2022,30/1/2022,,Sun,08:45,St Mark 6: 1-6,
Mayaltho,2/1/2022,1/2/2022,,Tue,19:00,Luke 2:22-40,
Fifth Sunday after Epiphany,2/6/2022,6/2/2022,,Sun,08:45,St Mark 1: 12-20,
Ninaveh Lent Ends,2/9/2022,9/2/2022,,Wed,19:00,Luke 12:54-13:9,
Kohane - Commemoration of all Departed Priests,2/13/2022,13/2/2022,,Sun,08:45,Matthew 24:42-51,"A special day to remember all the departed priest"
